datetime|remoteAddress|endpoint|cities 
2021-12-06T02:35:14.853Z|::1|/weather|Macedo de Cavaleiros, Portugal,Vila Nova de Gaia, Portugal
2021-12-06T02:35:33.525Z|::1|/weather|Macedo de Cavaleiros, Portugal,Vila Nova de Gaia, Portugal
2021-12-06T02:37:21.821Z|::1|/weather|Madrid, Spain
2021-12-06T02:39:40.626Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros, Portugal
2021-12-06T02:39:48.365Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros, Portugal
2021-12-06T02:40:01.125Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros, Portugal
2021-12-06T02:40:08.099Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros, Portugal
2021-12-06T02:41:24.929Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros, Portugal
2021-12-06T02:41:28.569Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros, Portugal
2021-12-06T02:41:47.098Z|::1|/weather|Madrid, Spain
2021-12-06T02:41:59.369Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros
2021-12-06T02:45:52.124Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:47:25.423Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:48:26.123Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:51:24.609Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:53:13.516Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:53:38.811Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:54:04.331Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:54:09.037Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:54:26.933Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:57:06.744Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:57:20.876Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:57:23.061Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:57:26.819Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:58:09.913Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:58:11.642Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:58:39.622Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T02:59:18.892Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:00:28.085Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:00:38.801Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:00:40.388Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:00:46.297Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:01:03.031Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:01:19.632Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:01:40.330Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:02:08.211Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:02:40.257Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:02:55.163Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:05:58.524Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:06:03.309Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:06:07.186Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:06:19.846Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:06:27.003Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:06:45.599Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
2021-12-06T03:06:49.282Z|::1|/weather|Madrid, Spain,Macedo de Cavaleiros,lisboa, portugal,Faro, Portugal,Caracas, Venezuela
